,Income,Fraud,DaysToExpire,Profession_ENGINEER,Profession_LAWYER
0,-0.2514958291997369,1,-1.4867495524344831,0.0,0.0
1,1.0602194943142464,1,0.885282597433135,0.0,0.0
2,1.4492432219858884,1,0.13261854987898694,0.0,1.0
3,-0.21286394895136737,1,-0.2703228089126277,0.0,1.0
4,-0.9293570170048349,0,0.36545023125621706,0.0,0.0
5,0.7748845655139013,0,-0.8509765122656384,1.0,0.0
6,0.18139623645591552,0,0.2200492220696203,0.0,0.0
7,-1.0322135312029175,0,-0.9944768546654823,0.0,1.0
8,0.1706458927602292,0,0.7702922568345846,0.0,0.0
9,0.8641124181880976,0,1.6959169819832465,0.0,0.0
10,-1.0691114850487569,0,1.0021736048184382,1.0,0.0
11,-1.4636837772084952,0,0.6828615846439512,1.0,0.0
12,-1.6184193693702769,0,1.0306836066197318,0.0,1.0
13,-0.487379176999925,1,1.1475746140050351,0.0,1.0
14,-0.03697445467871904,1,-1.4278288820451432,0.0,0.0
15,-1.450575293605368,1,1.4070156303968058,1.0,0.0
16,-1.538277291045338,1,0.6828615846439512,0.0,0.0
17,0.09289663287078175,0,-0.8794865140669319,1.0,0.0
18,-1.670229090277875,0,-1.6882202318302906,0.0,1.0
19,0.11963377799779512,1,-1.5732298912317402,0.0,0.0
20,0.15056702501893124,1,1.2036442842142456,0.0,1.0
21,0.8519749333703873,1,-1.3698585450491798,0.0,1.0
22,-1.594421827959261,0,1.3490452934008423,1.0,0.0
23,1.5226576658690107,0,0.13261854987898694,0.0,1.0
24,0.7824444846289322,1,1.232154286015539,0.0,0.0
25,0.4350349906180113,0,-0.3282931459085911,0.0,1.0
26,-0.9577240529502264,1,-0.8215161770709685,0.0,0.0
27,-1.4729776227260563,1,-0.5886844956937383,1.0,0.0
28,-1.5562407685755493,0,-1.0229868564667757,0.0,0.0
29,-1.558182766146383,1,-1.6292995614409507,0.0,1.0
30,1.0798475411908866,0,0.0765488796697764,1.0,0.0
31,1.2621178846248455,1,1.4944463025874393,0.0,0.0
32,-0.6635460994969781,1,-1.6882202318302906,1.0,0.0
33,-1.580168952930464,0,1.6084863097926132,0.0,0.0
34,1.275885260260934,0,1.4355256321980994,0.0,0.0
35,1.7243133064832556,1,0.7702922568345846,0.0,0.0
36,1.1847500885439546,1,-1.2558185378440059,1.0,0.0
37,-0.4787442235153253,0,-0.09831246471149033,0.0,0.0
38,-1.2734720508509487,0,1.4355256321980994,1.0,0.0
39,1.213845373578409,1,-0.06885212951682039,0.0,0.0
